,name,designation,area,profile_page,home_page
0,Greg Baker,UNIVERSITY LECTURER,Instruction,/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/
1,Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity of Computation",/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
2,Angel Chang,Assistant Professor,"Natural Language Processing, Artificial Intelligence, Computer Graphics, Computer Vision",http://www.cs.sfu.ca/people/Faculty/Profile/haoz.html,/computing/people/faculty/angelchang.html
3,SHEELAGH CARPENDALE,PROFESSOR,Information Visualization,/computing/people/faculty/sheelaghcarpendale.html,
4,LEONID CHINDELEVITCH,ASSISTANT PROFESSOR,Computational Biology,http://www.sfu.ca/computing/people/faculty/leonidchindelevitch.html,http://www.sfu.ca/~leonid
5,Diana Cukierman,Senior Lecturer,Instruction,/computing/people/faculty/dianacukierman.html,
6,James P. Delgrande,Professor,Formal Aspects of Knowledge Representation,/computing/people/faculty/jamesdelgrande.html,http://www.cs.sfu.ca/~jim/
7,Toby Donaldson,Senior Lecturer,Instruction,/computing/people/faculty/tobydonaldson.html,
8,John Edgar,Senior Lecturer,Instruction,/computing/people/faculty/johnedgar.html,
9,Martin Ester,Professor,Databases and Data Mining,/computing/people/faculty/martinester.html,https://author.sfu.ca/cf#/content/sfu/computing/people/faculty/martinester/people.html
10,Brian Fraser,Senior Lecturer,Instruction,/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
11,Yasutaka Furukawa,Assistant Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/
12,Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
13,Mohamed Hefeeda,Professor,"Computer Networks, Multimedia Communications",/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/
14,Harinder Singh Khangura,Senior Lecturer,Instruction,/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
15,Anne Lavergne,Senior Lecturer,Instruction,/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
16,Maxwell Libbrecht,Assistant Professor,: Computational Biology and Machine Learning,/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
17,Jiangchuan (JC) Liu,Professor,Networking and multimedia communications,/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
18,David Mitchell,Associate Professor,"Constraint satisfaction, Algorithms for deduction and other reasoning tasks",/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
19,Jian Pei,Professor,Databases and Data Mining,/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
20,Fred Popowich,Professor,|,/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
21,Arrvindh Shriraman,Associate Professor,"Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields.",/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
22,William (Nick) Sumner,Assistant Professor,"Automated debugging, debugging tools, concurrency & parallelism, program analysis & transformation",http://www.cs.sfu.ca/~wsumner/,http://www.cs.sfu.ca/~tamaras/
23,Manolis Savva,Assistant Professor,"Computer Graphics, Computer Vision, Deep Learning",/computing/people/faculty/manolissavva.html,
24,IGOR SHINKAR,ASSISTANT Professor,Computational complexity,/computing/people/faculty/igorshinkar.html,https://www.cs.sfu.ca/~ishinkar/
25,Ping Tan,Associate Professor,"Computer Vision, Computer Graphics, Robotics",/computing/people/faculty/pingtan.html,http://www.cs.sfu.ca/~pingtan/
26,Eugenia Ternovska,Associate Professor,"Logical aspects of AI, Knowledge Representation and Reasoning, Efficient Reasoning, Descriptive Complexity and Formal Verification.",/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
27,Keval Vora,Assistant Professor,"Parallel & Distributed Computing, Irregular Big Data Processing and High Performance Computing",/computing/people/faculty/kevalvora.html,http://www.cs.sfu.ca/~keval/
28,Ke Wang,Professor,"Databases, Data Mining",/computing/people/faculty/kewang.html,http://www.cs.sfu.ca/~wangk/
29,Tianzheng Wang,Assistant Professor,"Database Systems, Parallel and Distributed Systems, Concurency, Embedded Systems",/computing/people/faculty/tianzhengwang.html,http://www.cs.sfu.ca/~tzwang/
30,Kay C. Wiese,Associate Professor,"Bioinformatics, Evolutionary Computation, Computational Intelligence, Visualization",/computing/people/faculty/kaywiese.html,http://www.cs.sfu.ca/~wiese/
31,KangKang Yin,Associate Professor,"Computer Animation, Computer Graphics, Humanoid Robotics, Machine Learning, Multimedia Analysis",/computing/people/faculty/kangkangyin.html,http://www.cs.sfu.ca/~kkyin/
32,Brad Bart,SENIOR LECTURER,Instruction,/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
33,Bobby Chan,LECTURER,Instruction,/computing/people/faculty/bobbychan1.html#main_content_title,/computing/people/faculty/bobbychan1.html#main_content_title
34,Binay Bhattacharya,Professor,"Computational Geometry, Pattern Recognition",/computing/people/faculty/binaybhattacharya.html,http://www.cs.sfu.ca/~binay/
35,Ouldooz Baghban Karimi,Lecturer,|  Home Page,/computing/people/faculty/ouldoozbaghbankarimi.html,
36,Robert D. Cameron,Professor,Software Engineering Languages; Electronic Publication,/computing/people/faculty/robertdcameron.html,http://www.cs.sfu.ca/~cameron/
37,Mo Chen,Assistant Professor,Robotics and Autonomous Systems,/computing/people/faculty/mochen.html,
38,Parmit Chilana,Assistant Professor,Human-Computer Interaction,http://www.sfu.ca/computing/people/faculty/parmitchilana.html,http://hci.cs.sfu.ca/
39,Ryan C.N. D'Arcy,Professor,Neuroscience,/computing/people/faculty/ryandarcy.html,
40,Mark S. Drew,Professor,Computer Vision,/computing/people/faculty/markdrew.html,http://www.cs.sfu.ca/~mark/
41,Brian Funt,Professor,Computational Color Vision,/computing/people/faculty/brianfunt.html,http://www.cs.sfu.ca/~funt/
42,Qianping Gu,Professor,Network Communications and Algorithms,/computing/people/faculty/QianpingGu.html,http://www.cs.sfu.ca/~qgu/
43,Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
44,Eugene Fiume,Professor,Computer Graphics,/computing/people/faculty/eugenefiume.html,
45,Pavol Hell,Professor,Computational Combinatorics,/computing/people/faculty/pavolhell.html,http://www.cs.sfu.ca/~pavol/
46,Valentine Kabanets,Associate Professor,"Pseudorandomness and Derandomization, Complexity of Computation, Automata and Logic",/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
47,Ramesh Krishnamurti,Professor,Combinatorial Optimization and Approximation Algorithms,/computing/people/faculty/RameshKrishnamurti.html,http://www.cs.sfu.ca/~ramesh/
48,Ze-Nian Li,Professor,"Computer Vision, Multimedia",/computing/people/faculty/ze-lianli.html,http://www.cs.sfu.ca/~li/
49,Angelica Lim,Assistant Professor of Professional Practice,Human Robot Interaction,/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
50,Greg Mori,Professor,"Computer Vision, Machine Learning",/computing/people/faculty/gregmori.html,http://www.cs.sfu.ca/~mori/
51,Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
52,Joseph G. Peters,Professor,Network Communications,/computing/people/faculty/JosephPeters.html,http://www.cs.sfu.ca/~peters/
53,Janice Regan,Senior Lecturer,Instruction,/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
54,Ryan Shea,Assistant Professor,Big Data,/computing/people/faculty/ryanshea.html,http://www.sfu.ca/~rws1
55,Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory,/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
56,Thomas C. Shermer,Professor,Computational Geometry and Computer Graphics,/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
57,Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
58,Richard Vaughan,Professor,Robotics and Autonomous Systems,/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/
59,Jiannan Wang,Assistant Professor,Database Systems and Big Data,/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
60,Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction for the Dual Degree Program,/computing/people/faculty/cynthiaxie.html,
61,Richard (Hao) Zhang,Professor,Computer Graphics; Geometric Modelling,/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/
